parent_id,child_id,jaccard_similarity
22,42,0.5384615384615384
7,17,1.0
22,41,0.1111111111111111
24,47,0.8181818181818182
21,40,0.1111111111111111
21,39,0.6666666666666666
2,5,0.17647058823529413
9,21,0.8181818181818182
2,3,0.3333333333333333
5,12,0.5384615384615384
4,9,0.42857142857142855
3,6,1.0
4,10,0.05263157894736842
25,50,0.05263157894736842
25,48,0.8181818181818182
6,16,0.5384615384615384
11,26,0.1111111111111111
8,18,0.0
4,11,0.25
13,30,1.0
23,45,1.0
20,38,0.8181818181818182
1,1,0.05263157894736842
3,7,0.0
14,31,0.8181818181818182
16,34,0.8181818181818182
2,4,0.0
11,24,0.6666666666666666
15,33,0.8181818181818182
1,2,0.8181818181818182
19,37,1.0
22,44,0.05263157894736842
11,23,0.1111111111111111
24,46,0.05263157894736842
25,49,0.0
18,36,1.0
3,8,0.05263157894736842
12,27,0.6666666666666666
12,29,0.25
6,15,0.15384615384615385
8,20,0.8181818181818182
22,43,0.05263157894736842
12,28,0.0
17,35,1.0
5,14,0.17647058823529413
5,13,0.0
11,25,0.0
8,19,0.1111111111111111
10,22,1.0
14,32,0.05555555555555555
